Read only,Read only,Read only,Read only,Read only,Read only,Read only,Can update,Can update,Read only
business_id,store_id,upc_id,sku_id,item_name,category_l1,category_l2,default_price,status,currency
"15299327","36902681","|022000287335|","|22000287335|","Skittles Wild Berry Gummy Candy Sharing Size (12 oz)","Candy","Gummy","6.25","Active","USD"
"15299327","36902681","|022000287359|","|22000287359|","Skittles Original Gummies Candy Bag (2.93 oz)","Candy","Gummy","1.99","Active","USD"
"15299327","36902681","|022000289681|","|22000289681|","Skittles Sour Gummies Sharing Size Chewy Candies Bag (12 oz)","Candy","Gummy","6.25","Active","USD"
"15299327","36902681","|022000294661|","|22000294661|","Skittles Littles Original Multiple Fruits Flavors Bite Size Soft Chewy Candies Bag (7.2 oz)","Candy","Fruity","3.29","Active","USD"
"15299327","36902681","|022000301284|","|22000301284|","Skittles Pop'd Sour Freeze Dried Candy (5.5 oz)","Candy","Hard Candies","7.25","Active","USD"
"15299327","36902681","|022110079806|","|22110079806|","Hubba Bubba Bubble Tape Awesome Original Gum (2 oz)","Candy","Fruity","2.25","Active","USD"
"15299327","36902681","|022000008916|","|2289106|","Extra Sugar Free Peppermint Chewing Gum Single Pack (15 pk)","Candy","Gum & Mints","2.25","Active","USD"
"15299327","36902681","|022000008985|","|2289805|","Extra Sugar Free Polar Ice Chewing Gum Sticks (15 ct)","Candy","Gum & Mints","1.98","Active","USD"
"15299327","36902681","|024100114412|","|24100114412|","Cheez-It Snap'd Thin & Crispy Baked Double Cheese Crackers Bag (7.5 oz)","Snacks","Snack Mixes","3.20","Active","USD"
"15299327","36902681","|024100705665|","|24100705665|","Cheez-It Baked Original Lunch Snack Crackers Box (7 oz)","Snacks","Crackers","4.49","Active","USD"
"15299327","36902681","|024300043109|","|24300043109|","Little Debbie Individually Wrapped Peanut Butter Creme Pies Sandwich Cookies Big Pack (18.6 oz)","Snacks","Cookies","5.00","Active","USD"
"15299327","36902681","|024300043314|","|24300043314|","Little Debbie Cosmic Brownies with Chocolate Chip Candy Big Pack (12 ct)","Snacks","Sweets","3.15","Active","USD"
"15299327","36902681","|025000061530|","|25000061530|","Minute Maid 100% Orange Juice Drink Bottle with Vitamin C (12 fl oz)","Drinks","Juice","2.19","Active","USD"
"15299327","36902681","|025600085059|","|2560008505|","Tastykake Cinnamon Mini Donuts (10 oz)","Snacks","Sweets","4.25","Active","USD"
"15299327","36902681","|027800063943|","|27800063943|","Keebler Coconut Dreams Cookies (8.5 oz)","Snacks","Cookies","4.00","Active","USD"
"15299327","36902681","|027800065701|","|27800065701|","Keebler Fudge Stripes Original Shortbread Coated Cookies (11.5 oz)","Snacks","Cookies","5.00","Active","USD"
"15299327","36902681","|027800067781|","|27800067781|","Keebler Chips Deluxe M&M's Cookies Family Size (14.6 oz)","Snacks","Cookies","5.99","Active","USD"
"15299327","36902681","|027800067941|","|27800067941|","Keebler Chips Deluxe x M&M's Chocolate Chip Cookies (9.75 oz)","Snacks","Cookies","4.50","Active","USD"
"15299327","36902681","|028000131708|","|28000131708|","Nestle Crunch Milk Chocolate Candy Bar Full Size (1.55 oz)","Candy","Chocolate","1.99","Active","USD"
"15299327","36902681","|028400000222|","|28400000222|","Fritos Mild Cheddar Cheese Dip (9 oz)","Snacks","Salsa & Dips","5.00","Active","USD"
"15299327","36902681","|028400000246|","|28400000246|","Fritos Jalapeno Cheddar Flavored Cheese Dip (9 oz)","Snacks","Salsa & Dips","5.00","Active","USD"
"15299327","36902681","|028400000789|","|28400000789|","Fritos Original Flavor Bean Dip (9 oz)","Snacks","Salsa & Dips","5.00","Active","USD"
"15299327","36902681","|1973572|","|28400012546|","Miss Vickie's Sea Salt and Vinegar Kettle Chips (1.38 oz)","Snacks","Chips","5.29","Active","USD"
"15299327","36902681","|028400034227|","|28400034227|","Nut Harvest Sea Salted Whole Cashews (2.25 oz)","Snacks","Nuts & Seeds","3.09","Active","USD"
"15299327","36902681","|028400043014|","|28400043014|","Chester's Fries Flamin' Hot Flavored Corn Snacks (1.75 oz)","Snacks","Snack Mixes","0.75","Active","USD"
"15299327","36902681","|028400055987|","|28400055987|","Tostitos Chunky Medium Salsa (15.5 oz)","Snacks","Salsa & Dips","5.00","Active","USD"
"15299327","36902681","|028400070942|","|28400070942|","Lay's French Onion Dip (15 oz)","Snacks","Salsa & Dips","5.00","Active","USD"
"15299327","36902681","|028400070959|","|28400070959|","Lay's Smooth Ranch Dip (15 oz)","Snacks","Salsa & Dips","5.00","Active","USD"
"15299327","36902681","|028400070980|","|28400070980|","Tostitos Medium Con Queso Flavored Salsa Dip (15 oz)","Snacks","Salsa & Dips","5.00","Active","USD"
"15299327","36902681","|028400084048|","|28400084048|","Munchies Cheese Fix Flavored Snack Mix (8 oz)","Snacks","Snack Mixes","3.99","Active","USD"
"15299327","36902681","|028400084055|","|28400084055|","Munchies Flamin' Hot Flavored Snack Mix (8 oz)","Snacks","Snack Mixes","3.99","Active","USD"
"15299327","36902681","|028400199544|","|28400199544|","Lay's Wavy Original Potato Chips (8 oz)","Snacks","Chips","4.99","Active","USD"
"15299327","36902681","|028400199636|","|28400199636|","Lay's Sour Cream & Onion Flavored Potato Chips (7.75 oz)","Snacks","Snack Mixes","4.99","Active","USD"
"15299327","36902681","|028400200608|","|28400200608|","Lay's Salt & Vinegar Flavored Potato Chips (7.75 oz)","Snacks","Chips","4.99","Active","USD"
"15299327","36902681","|028400200615|","|28400200615|","Lay's Wavy Hickory BBQ Potato Chips (7.75 oz)","Snacks","Chips","4.99","Active","USD"
"15299327","36902681","|028400200684|","|28400200684|","Lay's Honey Barbecue Flavored Potato Chips (7.75 oz)","Snacks","Chips","4.99","Active","USD"
"15299327","36902681","|028400201285|","|28400201285|","Lay's Dill Pickle Flavored Potato Chips (7.75 oz)","Snacks","Chips","4.99","Active","USD"
"15299327","36902681","|028400201292|","|28400201292|","Lay's Sweet Southern Heat BBQ Flavored Potato Chips (7.75 oz)","Snacks","Chips","4.99","Active","USD"
"15299327","36902681","|028400240185|","|28400240185|","Funyuns Regular Onion Flavored Rings (6 oz)","Snacks","Snack Mixes","2.69","Active","USD"
"15299327","36902681","|028400259552|","|28400259552|","Grandma's Soft Baked Goodness Peanut Butter Cookies (2.88 oz)","Snacks","Snack Mixes","2.09","Active","USD"
"15299327","36902681","|028400314015|","|28400314015|","Smartfood Gluten-Free White Cheddar Flavored Popcorn (6.75 oz)","Snacks","Popcorn","5.19","Active","USD"
"15299327","36902681","|028400324434|","|2840032443|","Ruffles Queso Cheese Flavored Potato Chips (2.5 oz)","Snacks","Chips","2.69","Active","USD"
"15299327","36902681","|028400324472|","|2840032447|","Ruffles Flamin' Hot Flavored Potato Chips (2.5 oz)","Snacks","Chips","2.69","Active","USD"
"15299327","36902681","|028400325042|","|2840032504|","Doritos Cool Ranch Flavored Tortilla Chips (2.75 oz)","Snacks","Chips","2.69","Active","USD"
"15299327","36902681","|028400325059|","|28400325059|","Doritos Nacho Cheese Flavored Tortilla Chips (2.75 oz)","Snacks","Chips","2.69","Active","USD"
"15299327","36902681","|028400325080|","|2840032508|","Doritos Spicy Nacho Flavored Tortilla Chips (2.75 oz)","Snacks","Snack Mixes","2.69","Active","USD"
"15299327","36902681","|028400325165|","|2840032516|","Doritos Flamas Flavored Tortilla Chips (2.75 oz)","Snacks","Snack Mixes","2.69","Active","USD"
"15299327","36902681","|028400325226|","|2840032522|","Doritos Flamin Hot Nacho Flavored Tortilla Chips (2.75 oz)","Snacks","Chips","2.69","Active","USD"
"15299327","36902681","|028400329484|","|2840032948|","Cheetos Crunchy Cheddar Jalapeno Cheese Flavored Snacks (3.25 oz)","Snacks","Chips","2.69","Active","USD"
"15299327","36902681","|028400331609|","|2840033160|","Funyuns Flamin' Hot Onion Flavored Rings (2.13 oz)","Snacks","Chips","2.69","Active","USD"
"15299327","36902681","|028400372190|","|28400372190|","Lay's Kettle Cooked Original Potato Chips (8 oz)","Snacks","Chips","4.99","Active","USD"
"15299327","36902681","|1586757|","|2840051573|","Ruffles Flamin' BBQ Flavored Potato Chips (8 oz)","Snacks","Chips","5.99","Active","USD"
"15299327","36902681","|028400515887|","|2840051588|","Ruffles Flamin' Hot BBQ Potato Chips (8 oz)","Snacks","Chips","5.99","Active","USD"
"15299327","36902681","|028400516471|","|2840051647|","Doritos Spicy Nacho Flavored Tortilla Chips (9.25 oz)","Snacks","Chips","6.29","Active","USD"
"15299327","36902681","|028400516686|","|2840051668|","Ruffles Original Potato Chips (8.5 oz)","Snacks","Chips","5.99","Active","USD"
"15299327","36902681","|028400589277|","|28400589277|","Fritos Twists Honey BBQ Flavored Corn Snacks (9.24 oz)","Snacks","Snack Mixes","5.89","Active","USD"
"15299327","36902681","|028400595865|","|28400595865|","Doritos Spicy Sweet Chili Tortilla Chips (10 oz)","Snacks","Chips","6.29","Active","USD"
"15299327","36902681","|028400742443|","|28400742443|","Cheetos Puffs Cheese Flavored Snacks (2.63 oz)","Snacks","Snack Mixes","2.69","Active","USD"
"15299327","36902681","|028400761918|","|28400761918|","Lay's Poppables Sea Salt Sweet Potato Snacks (5 oz)","Snacks","Snack Mixes","4.99","Active","USD"
"15299327","36902681","|028400767125|","|2840076712|","Lay's All Dressed Flavored Potato Chips (2.5 oz)","Snacks","Chips","4.99","Active","USD"
"15299327","36902681","|028400767217|","|28400767217|","Chester's Fries Honey BBQ Flavored Potato Crisps (4.25 oz)","Snacks","Chips","2.99","Active","USD"
"15299327","36902681","|028400768764|","|28400768764|","Lay's Flamin Hot Flavored Potato Chips (2.5 oz)","Snacks","Chips","2.69","Active","USD"
"15299327","36902681","|028400769075|","|28400769075|","Ruffles Cheddar & Sour Cream Flavored Potato Chips (2.25 oz)","Snacks","Chips","2.69","Active","USD"
"15299327","36902681","|9994725|","|28400769204|","Cheetos Xxtra Flamin' Hot Crunchy Chips (7.8 oz)","Snacks","Chips","2.69","Active","USD"
"15299327","36902681","|028400000567|","|2845637|","Lay's Creamy Ranch Dip (3.7 oz)","Pantry","Baking","1.39","Active","USD"
"15299327","36902681","|27800063165|","|30100033196|","Keebler Fudge Stripes Chocolate Cookies (56 g × 5 ct)","Snacks","Cookies","1.00","Active","USD"
"15299327","36902681","|5659399|","|30100100577|","Club Original Crackers (388 g)","Snacks","Crackers","5.50","Active","USD"
"15299327","36902681","|8788287|","|32134285053|","Warheads Wedgies Chewy Candy (3.5 oz)","Snacks","Gummy Candy","1.89","Active","USD"
"15299327","36902681","|1677700|","|34000018701|","Hershey's Nuggets with Almonds Chocolate Candy (10.1 oz)","Snacks","Chocolate","6.99","Active","USD"
"15299327","36902681","|034000018758|","|34000018758|","Hershey's Nuggets Extra Creamy Milk Chocolate with Toffee and Almonds Candy Share Size (10.2 oz)","Candy","Chocolate","6.99","Active","USD"
"15299327","36902681","|034000040476|","|34000040476|","Cadbury Dairy Milk Caramello & Creamy Caramel Milk Chocolate Bar (4 oz)","Candy","Chocolate","3.49","Active","USD"
"15299327","36902681","|9401384|","|34000088034|","Kit Kat Milk Chocolate Wafer Snack Size Candy (0.49 oz × 12 ct)","Snacks","Chocolate","4.25","Active","USD"
"15299327","36902681","|034000093519|","|34000093519|","Hershey's Milk Chocolate with Almonds Snack Size Bag (10.35 oz)","Candy","Chocolate","6.99","Active","USD"
"15299327","36902681","|034000110322|","|34000110322|","Hershey's Hugs Milk Chocolate and White Creme Candies (10.6 oz)","Candy","Chocolate","6.99","Active","USD"
"15299327","36902681","|034000140589|","|34000140589|","Hershey's Kisses Milk Chocolate Candy Share Pack (10.8 oz)","Candy","Chocolate","6.99","Active","USD"
"15299327","36902681","|034000142200|","|34000142200|","Hershey's Kisses Pokemon Special Edition Milk Chocolate Share Pack (10.1 oz)","Candy","Chocolate","6.99","Active","USD"
"15299327","36902681","|034000170388|","|34000170388|","HERSHEY'S Milk Chocolate XL Candy Bar (4.4 oz)","Candy","Chocolate","3.55","Active","USD"
"15299327","36902681","|034000173150|","|34000173150|","Mr Goodbar XL Chocolate Candy Bar with Peanuts (4.4 oz)","Candy","Chocolate","3.40","Active","USD"
"15299327","36902681","|034000174140|","|34000174140|","Hershey's Special Dark Mildly Sweet Chocolate Bars Extra Large (4.25 oz)","Candy","Chocolate","3.55","Active","USD"
"15299327","36902681","|034000175147|","|34000175147|","Hershey's Symphony Creamy Milk Chocolate Extra Large Bar (4.25 oz)","Candy","Chocolate","3.40","Active","USD"
"15299327","36902681","|00034000176229|","|34000176229|","Kit Kat Milk Chocolate Wafer XL Bar (4.3 oz)","Candy","Chocolate","3.29","Active","USD"
"15299327","36902681","|034000177141|","|34000177141|","Hershey's Symphony Extra Creamy Almonds & Toffee Milk Chocolate Extra Large Candy Bar (4.25 oz)","Candy","Chocolate","3.40","Active","USD"
"15299327","36902681","|034000214907|","|34000214907|","Hershey's Miniatures Assorted Chocolate Candy Share Pack (10.4 oz)","Candy","Chocolate","6.99","Active","USD"
"15299327","36902681","|034000228881|","|34000228881|","Kit Kat Milk Chocolate Wafer Bars King Size (3 oz x 4 ct)","Candy","Chocolate","10.00","Active","USD"
"15299327","36902681","|034000243075|","|34000243075|","Hershey's Mr Goodbar Miniatures Chocolate with Peanuts Candy Bars (2.7 oz)","Candy","Chocolate","1.99","Active","USD"
"15299327","36902681","|034000293056|","|34000293056|","Hershey's Mr Goodbar Chocolate & Peanuts Candy Bars Full Size (1.75 oz x 6 ct)","Candy","Chocolate","10.00","Active","USD"
"15299327","36902681","|034000379248|","|34000379248|","Rolo Rich Minis Chewy Chocolate Caramel Candy Share Pack (10.6 oz)","Candy","Chocolate","5.79","Active","USD"
"15299327","36902681","|034000432271|","|34000432271|","Reese's Miniature Milk Chocolate Peanut Butter Cups Candy Share Pack (10.5 oz)","Candy","Chocolate","6.99","Active","USD"
"15299327","36902681","|34000446711|","|34000446711|","Reese's Miniatures Peanut Butter Cups Milk Chocolate (2.48 oz)","Candy","Chocolate","1.99","Active","USD"
"15299327","36902681","|00034000454983|","|34000454983|","Hershey's Almonds & Salted Pretzels Milk Chocolate Candy Bag (6 oz)","Candy","Chocolate","6.99","Active","USD"
"15299327","36902681","|034000458110|","|34000458110|","Reese's x Oreo Milk Chocolate & White Creme Peanut Butter Cups Miniatures Share Pack (9 oz)","Candy","Chocolate","6.99","Active","USD"
