Read only,Read only,Read only,Read only,Read only,Read only,Read only,Can update,Can update,Read only
business_id,store_id,upc_id,sku_id,item_name,category_l1,category_l2,default_price,status,currency
"15299327","36902681","|041364084985|","|41364084985|","Sour Punch Bites Gummies with Assorted Flavors (3.7 oz)","Candy","Gummy","1.99","Active","USD"
"15299327","36902681","|041376102325|","|41376102325|","SpongeBob SquarePants Krabby Patties Gummy Candy Box (2.54 oz)","Candy","Gummy","1.89","Active","USD"
"15299327","36902681","|1289206|","|41396095195|","Sour Dudes Rainbow Berry Sour Belts Chewy Gummy Candy (5 oz)","Snacks","Gummy Candy","1.99","Active","USD"
"15299327","36902681","|041420016233|","|41420016233|","Trolli Sour Brite Crawlers Assorted Flavors Gummi Candy (7.2 oz)","Candy","Gummy","3.25","Active","USD"
"15299327","36902681","|041420045141|","|41420045141|","Trolli Sour Brite Crawlers Gummi Candy Family Size (14 oz)","Candy","Gummy","5.25","Active","USD"
"15299327","36902681","|041420048548|","|41420048548|","Nerds Rainbow Crunchy & Gummy Clusters Candy (8 oz)","Candy","Gummy","4.99","Active","USD"
"15299327","36902681","|041420069895|","|41420069895|","Trolli Sour Brite Crawlers Very Berry Gummies (3.4 oz)","Candy","Gummy","1.99","Active","USD"
"15299327","36902681","|041420069987|","|41420069987|","Trolli Sour Brite Crawlers Gummi Candy (3.4 oz)","Candy","Gummy","1.99","Active","USD"
"15299327","36902681","|041420070006|","|41420070006|","Trolli Octopus Sour Brite Gummi Candy (3 oz)","Candy","Gummy","1.89","Active","USD"
"15299327","36902681","|041420084584|","|41420084584|","Trolli Sour Brite Squad Gummies Stand Up Bag (12.3 oz)","Candy","Gummy","5.25","Active","USD"
"15299327","36902681","|041548001852|","|41548001852|","Edy's Vanilla Ice Cream (1.5 qt)","Frozen","Ice Cream","6.99","Active","USD"
"15299327","36902681","|041548034867|","|41548034867|","Edy's Slow Churned Light Butter Pecan Ice Cream (1.5 qt)","Frozen","Bread & Dough","6.99","Active","USD"
"15299327","36902681","|041548047850|","|41548047850|","Edy's Dreyer's Cookies & Cream Ice Cream (1.5 qt)","Frozen","Ice Cream","6.99","Active","USD"
"15299327","36902681","|042238302211|","|42238302211|","Haribo Goldbears Gummi Candy (5 oz)","Candy","Gummy","1.99","Active","USD"
"15299327","36902681","|042238340930|","|42238340930|","Haribo Twin Snakes Sweet & Sour Gummy Candy (4 oz)","Candy","Gummy","1.99","Active","USD"
"15299327","36902681","|00042238380066|","|42238380066|","Haribo Peaches Gummi Candy (4 oz)","Candy","Gummy","1.99","Active","USD"
"15299327","36902681","|00042238723306|","|42238723306|","Haribo Watermelon Gummi Candy (3.1 oz)","Candy","Gummy","1.99","Active","USD"
"15299327","36902681","|9147642|","|42238750012|","Haribo Sour Streamers Gummy Candy (4.5 oz)","Candy","Gummy","1.99","Active","USD"
"15299327","36902681","|043000028254|","|43000028254|","Kool-Aid Jammers Tropical Punch Flavored Juice Drink Pouches (6 fl oz x 10 ct)","Drinks","Juice","3.99","Active","USD"
"15299327","36902681","|043000028285|","|43000028285|","Kool Aid Jammers Grape Flavored Juice Drink Pouches (6 fl oz x 10 ct)","Drinks","Juice","3.99","Active","USD"
"15299327","36902681","|044000004637|","|44000004637|","Honey Maid Graham Crackers Lunch Snacks (14.4 oz)","Snacks","Crackers","6.25","Active","USD"
"15299327","36902681","|044000007133|","|44000007133|","Mini Chips Ahoy! Original Chocolate Chip Cookies Snak-Saks (8 oz)","Snacks","Cookies","3.50","Active","USD"
"15299327","36902681","|044000007461|","|44000007461|","Barnums Snak Saks! Animals Crackers (8 oz)","Snacks","Crackers","3.50","Active","USD"
"15299327","36902681","|044000011703|","|44000011703|","Oreo Mini Chocolate Sandwich Cookies (1.5 oz)","Snacks","Cookies","1.00","Active","USD"
"15299327","36902681","|044000028299|","|44000028299|","BelVita Crunchy Blueberry Breakfast Biscuits (1.76 oz x 5 ct)","Snacks","Cookies","4.99","Active","USD"
"15299327","36902681","|044000029913|","|44000029913|","Chips Ahoy! Reese's Chewy Peanut Butter Cup Chocolate Chip Cookies (9.5 oz)","Snacks","Cookies","5.00","Active","USD"
"15299327","36902681","|044000032197|","|44000032197|","Chips Ahoy! Original Chocolate Chip Cookies (13 oz)","Snacks","Cookies","5.50","Active","USD"
"15299327","36902681","|044000033385|","|44000033385|","Chips Ahoy! Original Chocolate Chip Cookies Family Size (18.2 oz)","Snacks","Cookies","6.50","Active","USD"
"15299327","36902681","|044000037451|","|44000037451|","Nutter Peanut Butter Sandwich Cookies (1.9 oz)","Snacks","Cookies","1.25","Active","USD"
"15299327","36902681","|044000047009|","|44000047009|","Oreo Original Chocolate Sandwich Cookies Snack Pack (2.4 oz)","Snacks","Cookies","1.25","Active","USD"
"15299327","36902681","|044000060138|","|44000060138|","Oreo Double Stuf Chocolate Sandwich Cookies (14.03 oz)","Snacks","Cookies","5.25","Active","USD"
"15299327","36902681","|044000060251|","|44000060251|","Oreo Double Stuf Chocolate Sandwich Cookies Family Size (18.71 oz)","Snacks","Cookies","6.25","Active","USD"
"15299327","36902681","|044000060626|","|44000060626|","Oreo Thins Chocolate Sandwich Cookies (9.21 oz)","Snacks","Cookies","5.00","Active","USD"
"15299327","36902681","|044000077884|","|44000077884|","Oreo Thins Mint Creme Chocolate Sandwich Cookies (9.21 oz)","Snacks","Cookies","5.00","Active","USD"
"15299327","36902681","|046100354032|","|46100354032|","Sargento x Ritz Balanced Breaks Pepper Jack & Colby-Jack Cheese & Crackers Kit (1.5 oz x 3 ct)","Snacks","Snack Mixes","2.29","Active","USD"
"15299327","36902681","|047677000513|","|47677000513|","Snickers Chocolatey Caramel & Peanut Butter Ice Cream Bars Box (6 ct)","Frozen","Novelty","6.49","Active","USD"
"15299327","36902681","|047677001510|","|47677001510|","Snickers Chocolatey Caramel Peanut Butter Ice Cream Bar (2 oz)","Frozen","Novelty","2.00","Active","USD"
"15299327","36902681","|047677484214|","|47677484214|","M&M's Reduced Fat Chocolate Ice Cream Cookie Sandwiches 4 ct (4 oz)","Frozen","Novelty","7.99","Active","USD"
"15299327","36902681","|048500017777|","|48500017777|","Tropicana Pure Premium Calcium & Vitamin D Some Pulp 100% Orange Juice Bottle (12 fl oz)","Drinks","Juice","2.50","Active","USD"
"15299327","36902681","|048500017814|","|48500017814|","Tropicana Cranberry Juice Cocktail Bottle (12 fl oz)","Drinks","Juice","2.50","Active","USD"
"15299327","36902681","|048500206553|","|48500206553|","Tropicana Classic Lemonade Bottle (11 fl oz)","Drinks","Juice","2.50","Active","USD"
"15299327","36902681","|049000019162|","|49000019162|","Fanta Orange Fruit Flavored Soda Bottle (20 fl oz)","Drinks","Soda","2.99","Active","USD"
"15299327","36902681","|049000029338|","|49000029338|","Coke Caffeine Free Soda Cans Fridge Pack (12 fl oz x 12 ct)","Drinks","Soda","9.99","Active","USD"
"15299327","36902681","|049000031034|","|49000031034|","Cherry Coke Soda Cans Fridge Pack (12 fl oz x 12 ct)","Drinks","Other Drinks","9.99","Active","USD"
"15299327","36902681","|8882092|","|49000047516|","Coca-Cola Zero Cherry Flavored Soda (12 fl oz × 12 ct)","Drinks & Mixers","Soda","9.99","Active","USD"
"15299327","36902681","|049000060904|","|49000060904|","Coke Zero Sugar Caffeine-Free Soda Cans Fridge Pack (12 fl oz x 12 ct)","Drinks","Soda","9.99","Active","USD"
"15299327","36902681","|049000558739|","|4900055873|","Coke Zero Orange Cream Soda Bottle (20 fl oz)","Drinks","Soda","2.99","Active","USD"
"15299327","36902681","|049000558739|","|49000558739|","Coke Zero Orange Cream Soda Bottle (20 fl oz)","Drinks","Soda","2.99","Active","USD"
"15299327","36902681","|049000558845|","|49000558845|","Coke Orange Cream Soda Cans Fridge Pack (12 fl oz x 12 ct)","Drinks","Soda","9.99","Active","USD"
"15299327","36902681","|3133215|","|49000559620|","Powerade Sour Cherry Kicker Sports Drink (20 fl oz)","Drinks & Mixers","Sports Drinks","2.00","Active","USD"
"15299327","36902681","|1532171|","|49000559637|","Powerade Xtra Sour Grape Shocker (28 fl oz)","Drinks","Sports","2.00","Active","USD"
"15299327","36902681","|049000000450|","|4904500|","Diet Coke Soda Bottle (20 fl oz)","Drinks","Soda","2.99","Active","USD"
"15299327","36902681","|050255019005|","|50255019005|","Ritter Sport Milk Chocolate with Whole Hazelnuts Candy Bar (3.5 oz)","Candy","Chocolate","4.25","Active","USD"
"15299327","36902681","|050255025006|","|50255025006|","Ritter Sport Dark Chocolate with Marzipan Filling (3.5 oz)","Candy","Chocolate","4.25","Active","USD"
"15299327","36902681","|050255224003|","|50255224003|","Ritter Sport Whole Hazelnut Dark Chocolate Bar (3.5 oz)","Candy","Chocolate","4.25","Active","USD"
"15299327","36902681","|00050255237003|","|50255237003|","Ritter Sport Milk Chocolate with Strawberry Creme (3.5 oz)","Candy","Chocolate","4.25","Active","USD"
"15299327","36902681","|050255271007|","|50255271007|","RITTER SPORT Crunchy Salted Caramel Milk Chocolate (3.5 oz)","Candy","Chocolate","4.25","Active","USD"
"15299327","36902681","|052000042146|","|52000042146|","Gatorade G Zero Thirst Quencher Glacier Cherry Sports Drink Bottle (20 fl oz)","Drinks","Other Drinks","2.50","Active","USD"
"15299327","36902681","|052000135138|","|52000135138|","Gatorade Thirst Quencher Fruit Punch Natural Flavor Sports Drink Bottle (28 fl oz)","Drinks","Sports","2.99","Active","USD"
"15299327","36902681","|052000135176|","|52000135176|","Gatorade Thirst Quencher Cool Blue Sports Drink Bottle (28 fl oz)","Drinks","Sports","2.99","Active","USD"
"15299327","36902681","|052000324815|","|52000324815|","Gatorade Cool Blue Thirst Quencher Sports Drink Bottle (20 fl oz)","Drinks","Sports","2.50","Active","USD"
"15299327","36902681","|052000328684|","|52000328684|","Gatorade Thirst Quencher Lemon Lime Sports Drink Bottle (20 fl oz)","Drinks","Sports","2.50","Active","USD"
"15299327","36902681","|610764017840|","|610764017840|","Bang Any Means Orange Energy Drink Can (16 fl oz)","Drinks","Energy","3.19","Active","USD"
"15299327","36902681","|610764863775|","|610764863775|","Bang Black Cherry Vanilla Flavor Energy Drink Can (16 fl oz)","Drinks","Energy","3.19","Active","USD"
"15299327","36902681","|611269001303|","|611269001303|","Red Bull Caffeine 114 mg The Amber Edition Strawberry Apricot Energy Drink Can (12 fl oz)","Drinks","Energy","3.00","Active","USD"
"15299327","36902681","|2189917|","|611269001921|","Red Bull Curuba Elderflower Energy Drink Can (12 fl oz)","Drinks","Energy","3.00","Active","USD"
"15299327","36902681","|611269002263|","|611269002263|","Red Bull The Sea Blue Sugar Free Edition 114 mg B Vitamins Juneberry Energy Drink Can (12 fl oz)","Drinks","Energy","3.00","Active","USD"
"15299327","36902681","|611269101713|","|611269101713|","Red Bull Sugar Free 80 mg Caffeine Energy Drink Can (8.4 fl oz)","Drinks","Energy","2.50","Active","USD"
"15299327","36902681","|611269109009|","|611269109009|","Red Bull Sugar Free 80 mg Caffeine Energy Drink Cans (8.4 fl oz x 4 ct)","Drinks","Energy","7.49","Active","USD"
"15299327","36902681","|611269818994|","|611269818994|","Red Bull Original 114 mg Caffeine Energy Drink Can (12 fl oz)","Drinks","Other Drinks","3.00","Active","USD"
"15299327","36902681","|613008735159|","|613008735159|","AriZona Sun Brewed Lemon Flavor Iced Tea Can (23 fl oz)","Drinks","Tea","1.00","Active","USD"
"15299327","36902681","|613008751272|","|613008751272|","AriZona Watermelon Juice Cocktail Bottle (20 fl oz)","Drinks","Juice","1.25","Active","USD"
"15299327","36902681","|613008751302|","|613008751302|","AriZona Fruit Punch Juice Cocktail Tall Boy Bottle (20 fl oz)","Drinks","Juice","1.50","Active","USD"
"15299327","36902681","|613008751333|","|613008751333|","AriZona Mucho Mango Fruit Juice Cocktail Bottle Tall Boy (20 fl oz)","Drinks","Other Drinks","1.25","Active","USD"
"15299327","36902681","|634418523488|","|634418523488|","Albanese World's Best 12 Flavor Gummi Bears (7.5 oz)","Candy","Gummy","3.79","Active","USD"
"15299327","36902681","|070221011116|","|70221011116|","Toblerone Honey & Almond Nougat Milk Chocolate Bar (3.52 oz)","Candy","Fruity","4.00","Active","USD"
"15299327","36902681","|070462004052|","|70462004052|","Swedish Fish Soft & Chewy Tropical Mini Candy (8 oz)","Candy","Gummy","1.89","Active","USD"
"15299327","36902681","|070462008234|","|70462008234|","Sour Patch Kids Soft & Chewy Candy Share Size (12 oz)","Candy","Gummy","6.25","Active","USD"
"15299327","36902681","|070462008241|","|70462008241|","Sour Patch Kids Soft & Chewy Watermelon Candy Share Size (12 oz)","Candy","Fruity","6.25","Active","USD"
"15299327","36902681","|070462008258|","|70462008258|","Swedish Fish Soft & Chewy Mini Candy Share Size (12 oz)","Candy","Gummy","6.25","Active","USD"
"15299327","36902681","|070462010909|","|7046201090|","Sour Patch Kids Soft & Chewy Lemonade Fest Candy Bag (8.02 oz)","Candy","Gummy","1.50","Active","USD"
"15299327","36902681","|070462010916|","|70462010916|","Sour Patch Kids Lemonade Fest Soft & Chewy Candy Bag (3.61 oz)","Candy","Gummy","1.50","Active","USD"
"15299327","36902681","|1326409|","|70462082517|","Sour Patch Kids Soft & Chewy Watermelon Candy (3.5 oz)","Candy","Fruity","1.89","Active","USD"
"15299327","36902681","|070462098365|","|70462098365|","Swedish Fish Assorted Soft & Chewy Candy (3.5 oz)","Candy","Gummy","1.89","Active","USD"
"15299327","36902681","|070462098501|","|70462098501|","Sour Patch Kids Soft & Chewy Sour Then Sweet Candy (2 oz)","Candy","Gummy","1.50","Active","USD"
"15299327","36902681","|070462431230|","|70462431230|","Swedish Fish Soft & Chewy Candy (3.1 oz)","Candy","Gummy","1.89","Active","USD"
"15299327","36902681","|3981197|","|70462542509|","Swedish Fish Regular Chewy Candy (2 oz × 24 ct)","Snacks","Gummy Candy","1.50","Active","USD"
"15299327","36902681","|070847012474|","|70847012474|","Monster Ultra Zero Sugar Energy Drink Can (16 fl oz)","Drinks","Energy","2.99","Active","USD"
"15299327","36902681","|2912097|","|70847612715|","Java Monster Loca Moca Coffee & Energy Drink Can (15 fl oz)","Drinks","Energy","2.99","Active","USD"
"15299327","36902681","|070847811176|","|70847811176|","Monster Original Green Energy Drink Cans (16 fl oz x 4 ct)","Drinks","Other Drinks","12.99","Active","USD"
"15299327","36902681","|070847812517|","|70847812517|","Java Monster Irish Blend Coffee Plus Energy Drink Can (15 fl oz)","Drinks","Energy","2.99","Active","USD"
"15299327","36902681","|070847812609|","|70847812609|","Java Monster Mean Bean Coffee & Energy Drink Can (15 fl oz)","Drinks","Energy","2.99","Active","USD"
"15299327","36902681","|070847812715|","|70847812715|","Java Monster Loca Moca Coffee & Energy Drink Can (15 fl oz)","Drinks","Energy","2.99","Active","USD"
"15299327","36902681","|708478961808|","|70847896180|","Monster Ultra Fantasy Zero Sugar Ruby Red Energy Drink Can (16 fl oz)","Drinks","Energy","2.99","Active","USD"
"15299327","36902681","|070847898146|","|70847898146|","Monster Zero Sugar Ultra Vice Guava Energy Drink Can (16 fl oz)","Drinks","Energy","2.99","Active","USD"
"15299327","36902681","|070847898245|","|70847898245|","Monster Zero Sugar Ultra Hawaiian Blue Energy Drink Can (16 fl oz)","Drinks","Energy","2.99","Active","USD"
"15299327","36902681","|070970475313|","|70970475313|","Hot Tamales Chewy Fierce Cinnamon Flavor Candies (4.25 oz)","Candy","Gummy","1.89","Active","USD"
"15299327","36902681","|070970475412|","|70970475412|","Hot Tamales Chewy Fierce Cinnamon Flavored Candy (0.78 oz)","Candy","Gummy","0.33","Active","USD"
"15299327","36902681","|070970475436|","|70970475436|","Mike and Ike Original Fruits Assorted Flavor Chewy Candy (0.78 oz)","Candy","Fruity","0.33","Active","USD"
"15299327","36902681","|070970475443|","|70970475443|","Mike and Ike Berry Blast Fruit Candy (0.78 oz)","Candy","Fruity","0.33","Active","USD"
"15299327","36902681","|070970475450|","|70970475450|","Mike and Ike Tropical Typhoon Piece Soft Chewy Fruit Candy Box (0.78 oz)","Candy","Fruity","0.33","Active","USD"
"15299327","36902681","|070970475467|","|70970475467|","Mike and Ike Gluten Free Cherry Chewy Candy (0.78 oz)","Candy","Fruity","0.33","Active","USD"
"15299327","36902681","|070970475474|","|70970475474|","Mike and Ike Sour Watermelon Chewy Candy (0.78 oz)","Candy","Fruity","0.33","Active","USD"
"15299327","36902681","|070970475504|","|70970475504|","Mike and Ike Jolly Joes Fat Free Gluten Free Chewy Grape Flavored Candy (0.78 oz)","Candy","Fruity","0.33","Active","USD"
"15299327","36902681","|4539878|","|71570002350|","Gourmet Jelly Beans (7 oz)","Candy","Fruity","4.99","Active","USD"
"15299327","36902681","|071720532935|","|71720532935|","Charleston Chew Vanilla Flavored Mini Nougat (3.5 oz)","Candy","Fruity","1.99","Active","USD"
"15299327","36902681","|3539157|","|71720539446|","Creamy Mints in Pure Chocolate (3.5 oz)","Snacks","Chocolate","1.99","Active","USD"
"15299327","36902681","|00072392628919|","|72392628919|","Starburst Original Freezer Pops (1 oz x 10 ct)","Frozen","Novelty","2.00","Active","USD"
"15299327","36902681","|072799008611|","|72799008611|","Werther's Original Caramel Hard Candies (5.5 oz)","Candy","Hard Candies","3.29","Active","USD"
"15299327","36902681","|072799035938|","|72799035938|","Riesen Chocolate Caramel Chewy Candies(2.65 oz)","Candy","Chocolate","1.99","Active","USD"
"15299327","36902681","|072799056308|","|72799056308|","Mamba Fruit Flavor Mix Chew Candy (3.52 oz)","Candy","Fruity","1.99","Active","USD"
"15299327","36902681","|073390008017|","|73390008017|","AirHeads Assorted Flavors Mini Candy Bars (3.62 oz)","Candy","Fruity","1.75","Active","USD"
"15299327","36902681","|073390008383|","|73390008383|","AirHeads Xtremes Rainbow Berry Sour Candies (2 oz)","Candy","Fruity","1.99","Active","USD"
"15299327","36902681","|073390013035|","|73390013035|","Mentos PureFresh Sugar Free Strawberry Gums (50 ct)","Candy","Gum & Mints","5.25","Active","USD"
"15299327","36902681","|073390014049|","|73390014049|","Mentos Sugar Free Pure Fresh Mint Chewing Gum (50 ct)","Candy","Fruity","5.25","Active","USD"
"15299327","36902681","|073390055172|","|73390055172|","Trident Sugar-Free Tropical Twist Gum (14 ct)","Candy","Gum & Mints","1.89","Active","USD"
"15299327","36902681","|073390055189|","|73390055189|","Trident Sugar-Free Watermelon Twist Gum (14 ct)","Candy","Gum & Mints","1.89","Active","USD"
"15299327","36902681","|7217065|","|73390055257|","Trident Sugar Free Strawberry Chewing Gum (14 ct)","Snacks","Gum & Mints","1.89","Active","USD"
"15299327","36902681","|074570014002|","|74570014002|","Haagen-Dazs Gluten Free Chocolate Ice Cream (14 oz)","Frozen","Ice Cream","6.99","Active","USD"
"15299327","36902681","|074570606863|","|7457060686|","Haagen-Dazs New York Strawberry Cheesecake Ice Cream (14 fl oz)","Frozen","Ice Cream","6.99","Active","USD"
"15299327","36902681","|747599306525|","|747599306525|","Ghirardelli Mint Dark Chocolate Squares Bag (5.32 oz)","Candy","Chocolate","6.99","Active","USD"
"15299327","36902681","|747599416774|","|747599416774|","Ghirardelli Sea Salt Caramel Milk Chocolate Squares Bag (5.3 oz)","Candy","Fruity","6.99","Active","USD"
"15299327","36902681","|00757528005047|","|757528005047|","Takis Fuego Extreme Spicy Chili & Pepper Lime Flavored Rolled Tortilla Chips Bag (1 oz)","Snacks","Chips","0.50","Active","USD"
"15299327","36902681","|076183202050|","|76183202050|","Snapple Fruit Punch Juice Drink Plastic Bottle (20 fl oz)","Drinks","Juice","1.60","Active","USD"
"15299327","36902681","|076677100145|","|76677100145|","Famous Amos Classic Chocolate Chip Cookies Bite Size (2 oz)","Snacks","Cookies","1.00","Active","USD"
"15299327","36902681","|076840002351|","|76840002351|","Ben & Jerry's Gimme S'more! Toasted Marshmallow Ice Cream (1 pt)","Frozen","Ice Cream","6.99","Active","USD"
"15299327","36902681","|076840100811|","|76840100811|","Ben & Jerry's Peanut Butter Ice Cream Cup (1 pt)","Frozen","Ice Cream","6.99","Active","USD"
"15299327","36902681","|076840101184|","|76840101184|","Ben & Jerry's Lightly Roasted Pistachio Ice Cream (1 pt)","Frozen","Ice Cream","6.99","Active","USD"
"15299327","36902681","|076840400072|","|76840400072|","Ben & Jerry's Vanilla Caramel Fudge Ice Cream (1 pt)","Frozen","Ice Cream","6.99","Active","USD"
"15299327","36902681","|6443906|","|76840400218|","Ben & Jerry's Strawberry Cheesecake Ice Cream (16 oz)","Frozen","Ice Cream","6.99","Active","USD"
"15299327","36902681","|076840485116|","|76840485116|","Ben & Jerry's The Tonight Dough Caramel & Chocolate Ice Cream (1 pt)","Frozen","Ice Cream","6.99","Active","USD"
"15299327","36902681","|077975022177|","|77975022177|","Snyder's of Hanover Low Fat Mini Pretzel Snack Pack (1.5 oz)","Snacks","Snack Mixes","0.50","Active","USD"
"15299327","36902681","|078000038835|","|78000038835|","Canada Dry Caffeine Free Fruit Splash Cherry Ginger Ale Cans (12 fl oz x 12 ct)","Drinks","Soda","9.99","Active","USD"
"15299327","36902681","|078000040371|","|78000040371|","Dr Pepper Blackberry Soda Cans (12 fl oz x 12 ct)","Drinks","Soda","9.99","Active","USD"
"15299327","36902681","|078000052169|","|78000052169|","A&W Root Beer Soda Cans (12 fl oz x 12 ct)","Drinks","Soda","9.99","Active","USD"
"15299327","36902681","|078000052404|","|78000052404|","A&W Caffeine Free Root Beer Bottle (20 fl oz)","Drinks","Soda","2.99","Active","USD"
"15299327","36902681","|078000152166|","|78000152166|","Canada Dry Caffeine Free Ginger Ale Cans (12 fl oz x 12 ct)","Drinks","Other Drinks","9.99","Active","USD"
"15299327","36902681","|079200048563|","|79200048563|","Nerds Gummy Clusters Rainbow Candies (3 oz)","Candy","Gummy","2.25","Active","USD"
"15299327","36902681","|079200049058|","|79200049058|","NERDS Rainbow Crunchy & Gummy Clusters Share Pouch (3 oz)","Candy","Gummy","2.25","Active","USD"
"15299327","36902681","|079200060657|","|79200060657|","Nerds Gummy Clusters Candy Very Berry Peg Bag (3 oz)","Candy","Gummy","2.25","Active","USD"
"15299327","36902681","|079200531034|","|79200531034|","SweeTarts Soft & Chewy Cherry Punch Rope Candy (3 oz)","Candy","Gummy","1.99","Active","USD"
"15299327","36902681","|079200599362|","|79200599362|","Laffy Taffy Gone Bananas Candy Bag (3.5 oz)","Candy","Gummy","1.99","Active","USD"
"15299327","36902681","|810030518501|","|810030518501|","Alani Nu Pink Slush Energy Drink Can (12 fl oz)","Drinks","Energy","3.19","Active","USD"
"15299327","36902681","|0810113830018|","|81011383001|","Bodyarmor Super Drink Fruit Punch Sports Drink Bottles (20 fl oz x 6 ct)","Drinks","Sports","1.50","Active","USD"
"15299327","36902681","|4972397|","|810113830018|","Bodyarmor Fruit Punch Sports Drink (20 fl oz)","Drinks","Sports","1.50","Active","USD"
"15299327","36902681","|4799596|","|810113830025|","Bodyarmor Strawberry Banana Sports Drink (20 fl oz)","Drinks","Sports","1.50","Active","USD"
"15299327","36902681","|2187233|","|810113830056|","Bodyarmor Lyte Dragonfruit Berry Sports Drink (20 oz)","Drinks","Sports","1.50","Active","USD"
"15299327","36902681","|9508394|","|811620021951|","Fairlife Core Power Chocolate Protein Milk Shake (14 fl oz)","Drinks","Nutrition & Shakes","3.49","Active","USD"
"15299327","36902681","|813694026672|","|813694026672|","Bai Antioxidant Infused Zambia Bing Cherry Water Beverage Bottle (18 fl oz)","Drinks","Flavored Water","2.75","Active","USD"
"15299327","36902681","|813694026719|","|813694026719|","Bai Antioxidant Infused Molokai Coconut Water Beverage Bottle (18 fl oz)","Drinks","Flavored Water","2.75","Active","USD"
"15299327","36902681","|815154020008|","|815154020008|","NOS Original High Performance Energy Drink Can (16 fl oz)","Drinks","Other Drinks","2.75","Active","USD"
"15299327","36902681","|815154021906|","|815154021906|","Reign Zero Sugar Total Body Fuel Orange Dreamsicle Energy Drink Can (473 ml)","Drinks","Energy","2.75","Active","USD"
"15299327","36902681","|815154025973|","|815154025973|","Reign Sour Gummy Worm Energy Drink Can (16 fl oz)","Drinks","Energy","2.75","Active","USD"
"15299327","36902681","|815154026772|","|815154026772|","Reign Total Body Fuel White Haze Energy Drink Can (16 fl oz)","Drinks","Energy","2.75","Active","USD"
"15299327","36902681","|8899689|","|842595106596|","Cellucor Zero Sugar Frozen Bombsicle Energy Drink Can (473 ml × 12 ct)","Drinks & Mixers","Energy Drinks","2.99","Active","USD"
"15299327","36902681","|842595121759|","|842595121759|","C4 Performance Energy Zero Sugar Strawberry Blast Energy Drink Can (16 fl oz)","Drinks","Energy","3.19","Active","USD"
"15299327","36902681","|842595135084|","|842595135084|","Bloom Nutrition Raspberry Lemon Sparkling Energy Drink Can (12 fl oz)","Drinks","Energy","2.99","Active","USD"
"15299327","36902681","|842595135091|","|842595135091|","Bloom Zero Sugar Nutrition Sparkling Strawberry Watermelon Flavor Energy Drink Can (12 fl oz)","Drinks","Energy","2.99","Active","USD"
"15299327","36902681","|850017589377|","|850017589377|","Hi-Chew Grape and Strawberry Candy (1.94 oz)","Candy","Fruity","1.99","Active","USD"
"15299327","36902681","|850017589384|","|850017589384|","Hi-Chew Fruity Chewy Candy Green Apple and Mango (1.94 oz)","Candy","Fruity","1.99","Active","USD"
"15299327","36902681","|1061976|","|850070015028|","Hi-Chew Imensely Fruity Candy (1.94 oz)","Snacks","Gummy Candy","1.99","Active","USD"
"15299327","36902681","|850645008363|","|850645008363|","Alani Nu Orange Kiss Energy Drink Can (12 fl oz)","Drinks","Energy","3.19","Active","USD"
"15299327","36902681","|853004004952|","|853004004952|","Core Hydration Perfectly Balanced Nutrient Enhanced Water Sport Cap Bottle (23.9 fl oz)","Drinks","Still Water","2.29","Active","USD"
"15299327","36902681","|086600707778|","|86600707778|","Bumble Bee Snack On The Run Original Tuna Salad & Crackers (3.5 oz)","Snacks","Snack Mixes","2.15","Active","USD"
"15299327","36902681","|883990651205|","|883990651205|","Good2Grow No Sugar Added 100% Fruit Punch Juice Bottle (6 fl oz)","Drinks","Juice","4.25","Active","USD"
"15299327","36902681","|889392001723|","|889392001723|","Celsius Zero Sugar Live Fit Sparkling Sherbet Slush Energy Drink Can (12 fl oz)","Drinks","Energy","2.99","Active","USD"
"15299327","36902681","|889392010190|","|889392010190|","Celsius Live Fit Vibe White Peach Edition Sparkling Energy Drink Can (12 fl oz)","Drinks","Energy","2.99","Active","USD"
"15299327","36902681","|889392021394|","|889392021394|","Celsius Zero Sugar Tropical Vibe Edition Sparkling Starfruit Pineapple Energy Drink Can (12 fl oz)","Drinks","Energy","2.99","Active","USD"
"15299327","36902681","|009800007615|","|9800007615|","Tic Tac On-the-go Freshmint Breath Mints (1 oz)","Candy","Gum & Mints","1.46","Active","USD"
"15299327","36902681","|00009800125623|","|9800125623|","Ferrero Rocher Hazelnut White Chocolate Squares (3.7 oz)","Candy","Chocolate","6.99","Active","USD"
"15299327","36902681","|00009800125630|","|9800125630|","Ferrero Rocher Hazelnut Milk Chocolate Squares (3.7 oz)","Candy","Chocolate","6.99","Active","USD"
"15299327","36902681","|00009800125647|","|9800125647|","Ferrero Rocher Caramel Hazelnut Milk Chocolate Squares (3.7 oz)","Candy","Chocolate","6.99","Active","USD"
"15299327","36902681","|7328809|","|9800800056|","Nutella & Go Hazelnut Spread Breadsticks (1.8 oz × 6 ct)","Snacks","Snack Mixes","2.25","Active","USD"
"15299327","36902681","|099900100873|","|99900100873|","Butterfinger Crispety Crunchety Peanut-Buttery! Chocolatey Candy Bar Full Size (1.9 oz)","Candy","Chocolate","1.99","Active","USD"
"15299327","36902681","|2709866|","|99900694235|","100 Grand Chocolate Bar (1.5 oz × 36 ct)","Candy","Chocolate","1.99","Active","USD"
"15299327","36902681","|099900722730|","|99900722730|","Raisinets California Milk Chocolate Covered Raisins Candy Box (3.1 oz)","Candy","Fruity","1.99","Active","USD"
